Date,ABBV,BAC,COST,CRM,CVX,HD,JNJ,JPM,KO,LLY,MA,MRK,NFLX,ORCL,PG,TMUS,UNH,V,WMT,XOM
2021-07-28,103.56209564208984,34.67399978637695,402.7885437011719,242.60496520996094,86.91069030761719,296.9033203125,154.6427764892578,137.9234619140625,50.6825065612793,237.2987060546875,375.6864929199219,69.95130157470703,519.2999877929688,82.89817810058594,127.2691650390625,141.91433715820312,387.5721435546875,240.15455627441406,44.905216217041016,50.44752883911133
2021-07-29,103.84162902832031,35.17413330078125,406.46820068359375,242.6844940185547,88.10466003417969,298.64544677734375,154.6427764892578,139.10540771484375,50.95941162109375,236.16281127929688,380.9478759765625,68.7010726928711,514.25,83.3260726928711,127.92953491210938,141.4351806640625,390.3285217285156,241.10765075683594,44.96211242675781,51.06273651123047
2021-07-30,101.59654998779297,34.883148193359375,410.7118225097656,240.58621215820312,87.45185089111328,299.3386535644531,154.66073608398438,137.99620056152344,50.94154357910156,234.40118408203125,378.13592529296875,68.64749145507812,517.5700073242188,82.86013793945312,130.45179748535156,140.83865356445312,390.4611511230469,239.61965942382812,45.06010055541992,49.88430404663086
2021-08-02,100.85399627685547,34.5193977355957,409.94720458984375,239.52215576171875,87.29723358154297,298.4538879394531,154.72360229492188,137.44163513183594,50.807552337646484,237.38534545898438,367.671875,68.03129577636719,515.1500244140625,83.29754638671875,130.13079833984375,141.708984375,393.6343994140625,233.19129943847656,44.955787658691406,49.89297103881836
2021-08-03,101.55287170410156,35.05592346191406,415.8252258300781,239.79067993164062,88.13043212890625,302.7590026855469,156.627685546875,139.00543212890625,50.843284606933594,246.4244842529297,360.1668701171875,68.2366943359375,510.82000732421875,85.33244323730469,132.0293426513672,141.3080291748047,399.6302185058594,230.5751953125,45.4615478515625,50.43019485473633
2021-08-04,100.5307846069336,34.80131149291992,415.79644775390625,242.8137664794922,86.15482330322266,301.27227783203125,155.70257568359375,137.5052947998047,50.11082458496094,252.66233825683594,360.5685119628906,67.40617370605469,517.3499755859375,85.62723541259766,130.63523864746094,139.0784149169922,399.28924560546875,230.16673278808594,45.15176010131836,49.25176239013672
2021-08-05,100.56573486328125,35.48331832885742,423.5859375,249.1682891845703,86.95365142822266,303.82611083984375,155.9989776611328,139.2418212890625,50.4681282043457,254.3180389404297,364.4190673828125,67.50437927246094,524.8900146484375,85.03766632080078,130.69944763183594,138.7947998046875,389.4856262207031,233.60946655273438,45.98943328857422,49.56370162963867
2021-08-06,99.98043060302734,36.510902404785156,420.1834716796875,249.1981201171875,87.57210540771484,300.84356689453125,155.47805786132812,143.19674682617188,50.593177795410156,253.5960693359375,366.9566345214844,67.37045288085938,520.5499877929688,85.12324523925781,129.69969177246094,139.08819580078125,393.2080993652344,234.76673889160156,45.907249450683594,50.13559341430664
2021-08-09,99.63973236083984,36.983768463134766,420.98626708984375,247.9351806640625,86.11184692382812,299.8584899902344,156.01690673828125,143.04222106933594,50.60211181640625,257.17706298828125,363.1844482421875,67.26327514648438,519.969970703125,85.4845962524414,130.40594482421875,139.83139038085938,389.1824645996094,233.40524291992188,46.01788330078125,49.56370162963867
2021-08-10,100.30364990234375,37.674888610839844,423.4330749511719,242.03810119628906,87.68377685546875,302.33941650390625,156.07083129882812,144.7969512939453,50.73609924316406,259.3814697265625,360.40191650390625,67.1471939086914,515.8400268554688,85.23735046386719,130.48849487304688,140.03675842285156,390.04437255859375,231.52828979492188,46.99779510498047,50.412872314453125
2021-08-11,99.34272003173828,38.14775848388672,424.6468811035156,240.93426513671875,88.34517669677734,307.3741455078125,156.0977783203125,146.52439880371094,50.67356872558594,254.23141479492188,356.8746643066406,67.16505432128906,512.4000244140625,85.22784423828125,130.8094940185547,141.3960418701172,386.2176513671875,228.60098266601562,47.41820526123047,50.560176849365234
